City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Paranaiba,BR,-19.6772,-51.1908,85.6,24,0,6.11,clear sky
1,Bowen,AU,-20.0167,148.2333,62.92,88,100,8.59,overcast clouds
2,Atuona,PF,-9.8,-139.0333,75.78,80,25,11.43,light rain
3,Brigantine,US,39.4101,-74.3646,85.19,67,0,5.75,clear sky
4,Port Alfred,ZA,-33.5906,26.891,58.17,67,29,5.01,scattered clouds
5,Blytheville,US,35.9273,-89.919,78.73,88,75,6.91,broken clouds
6,Gizo,SB,-8.103,156.8419,81.72,76,3,10.78,clear sky
7,Aswan,EG,24.0934,32.907,105.13,9,20,13.51,few clouds
8,Saint-Philippe,RE,-21.3585,55.7679,71.19,81,45,14.76,light rain
9,Catamarca,AR,-28.4696,-65.7852,68.77,33,0,5.3,clear sky
10,Hilo,US,19.7297,-155.09,74.93,88,100,12.66,moderate rain
11,Ribeira Grande,PT,38.5167,-28.7,75.6,78,20,5.75,few clouds
12,Ushuaia,AR,-54.8,-68.3,38.07,90,94,4.38,overcast clouds
13,Tasiilaq,GL,65.6145,-37.6368,50.16,60,62,4.94,broken clouds
14,Punta Arenas,CL,-53.15,-70.9167,41.11,81,75,6.91,broken clouds
15,Sorland,NO,67.667,12.6934,57.06,89,100,12.91,overcast clouds
16,Mataura,NZ,-46.1927,168.8643,36.1,97,63,3.33,broken clouds
17,Lebu,CL,-37.6167,-73.65,50.32,75,11,0.98,few clouds
18,Ancud,CL,-41.8697,-73.8203,44.22,81,100,4.25,overcast clouds
19,Geraldton,AU,-28.7667,114.6,61.38,49,100,3.78,overcast clouds
20,Savannah Bight,HN,16.45,-85.85,82.87,78,100,19.64,overcast clouds
21,Adrar,MR,20.5022,-10.0711,97.63,28,0,3.44,clear sky
22,Svetlogorsk,BY,52.6333,29.7333,74.07,57,100,10.11,overcast clouds
23,Cabo San Lucas,MX,22.8909,-109.9124,88.05,62,40,3.44,scattered clouds
24,Hermanus,ZA,-34.4187,19.2345,58.8,55,7,4.9,clear sky
25,Yellowknife,CA,62.456,-114.3525,55.56,76,11,5.01,few clouds
26,Nizhniy Kuranakh,RU,58.8353,125.4869,70.2,68,97,5.86,overcast clouds
27,Port Augusta,AU,-32.5,137.7667,45.09,77,0,4.47,clear sky
28,Vaini,TO,-21.2,-175.2,75.36,94,75,6.91,broken clouds
29,Talnakh,RU,69.4865,88.3972,49.21,61,12,17.74,few clouds
30,Jamestown,US,42.097,-79.2353,76.95,58,0,3.0,clear sky
31,Victoria,HK,22.2855,114.1577,88.32,81,1,10.0,clear sky
32,Beyla,GN,8.6833,-8.6333,77.61,80,80,2.15,moderate rain
33,Cape Town,ZA,-33.9258,18.4232,61.12,60,0,5.01,clear sky
34,Rikitea,PF,-23.1203,-134.9692,72.1,74,100,18.32,light rain
